,Date,Low,High,Price,Open,Vol.
147,9/1/12,29.74,31.61,29.76,30.45,893.17M
146,8/1/12,28.97,30.96,30.82,29.59,671.80M
145,7/1/12,28.54,31.05,29.47,30.62,846.66M
144,6/1/12,28.32,31.14,30.59,28.76,973.17M
143,5/1/12,28.64,32.33,29.19,32.05,1.01B
142,4/1/12,30.23,32.89,32.01,32.22,940.74M
141,3/1/12,31.49,32.95,32.26,31.93,942.42M
140,2/1/12,29.71,32,31.74,29.79,984.40M
139,1/1/12,26.39,29.95,29.53,26.55,1.35B
138,12/1/11,25.16,26.19,25.96,25.56,1.01B
137,11/1/11,24.3,27.2,25.58,26.19,1.05B
136,10/1/11,24.26,27.5,26.63,24.72,1.22B
135,9/1/11,24.6,27.5,24.89,26.46,1.28B
134,8/1/11,23.79,27.68,26.6,27.51,1.72B
133,7/1/11,25.84,28.15,27.4,25.93,1.26B
132,6/1/11,23.65,26,26,24.99,1.30B
131,5/1/11,24.03,26.25,25.01,25.94,1.36B
130,4/1/11,24.72,26.87,25.92,25.53,1.31B
129,3/1/11,24.68,26.78,25.39,26.6,1.31B
128,2/1/11,26.43,28.34,26.58,27.8,1.11B
127,1/1/11,27.42,29.46,27.73,28.05,1.36B
126,12/1/10,25.56,28.4,27.91,25.57,1.03B
125,11/1/10,24.93,27.49,25.26,26.88,1.36B
124,10/1/10,23.78,27.2,26.67,24.77,1.28B
123,9/1/10,23.54,25.53,24.49,23.67,1.27B
122,8/1/10,23.32,26.38,23.47,25.99,1.28B
121,7/1/10,22.73,26.41,25.81,23.09,1.41B
120,6/1/10,22.95,26.93,23.01,25.53,1.67B
119,5/1/10,24.56,31.06,25.8,30.67,1.72B
118,4/1/10,28.62,31.58,30.54,29.35,1.32B
117,3/1/10,28.24,30.57,29.29,28.77,1.11B
116,2/1/10,27.57,29.03,28.67,28.39,1.07B
115,1/1/10,27.66,31.24,28.18,30.62,1.36B
114,12/1/09,29.25,31.5,30.48,29.52,920.65M
113,11/1/09,27.41,30.14,29.41,27.7,1.02B
112,10/1/09,24.43,29.35,27.73,25.41,1.52B
111,9/1/09,23.76,26.25,25.72,24.35,1.04B
110,8/1/09,23.03,25.49,24.65,23.82,993.31M
109,7/1/09,22,25.72,23.52,24.05,1.52B
108,6/1/09,20.86,24.34,23.77,21,1.41B
107,5/1/09,19.01,20.94,20.89,20.19,1.10B
106,4/1/09,18.18,21.2,20.26,18.23,1.56B
105,3/1/09,14.87,18.88,18.37,15.96,1.63B
104,2/1/09,16.1,19.93,16.15,17.03,1.46B
103,1/1/09,16.75,21,17.1,19.53,1.57B
102,12/1/08,18.47,21.25,19.44,19.88,1.55B
101,11/1/08,17.5,23.66,20.22,22.48,1.80B
100,10/1/08,20.65,27.47,22.33,26.38,3.05B
99,9/1/08,23.5,27.76,26.69,27.66,1.93B
98,8/1/08,25.07,28.5,27.29,25.92,1.21B
97,7/1/08,24.87,27.91,25.72,27.27,1.64B
96,6/1/08,27.11,29.57,27.51,28.24,1.57B
95,5/1/08,27.95,30.53,28.32,28.5,1.41B
94,4/1/08,27.93,32.1,28.52,28.83,1.45B
93,3/1/08,26.87,29.59,28.38,27.24,1.45B
92,2/1/08,27.02,33.25,27.2,31.05,2.32B
91,1/1/08,31.04,35.96,32.6,35.79,1.95B
90,12/1/07,32.63,36.72,35.6,33.5,1.07B
89,11/1/07,32.68,37.5,33.6,36.53,1.83B
88,10/1/07,29.29,37,36.81,29.46,1.77B
87,9/1/07,28.27,29.85,29.46,28.5,1.12B
86,8/1/07,27.51,30.1,28.73,28.95,1.23B
85,7/1/07,28.95,31.84,28.99,29.67,1.30B
84,6/1/07,29.04,30.9,29.47,30.79,1.19B
83,5/1/07,29.9,31.16,30.69,29.94,1.33B
82,4/1/07,27.56,30.74,29.94,27.89,966.27M
81,3/1/07,26.6,28.55,27.87,27.82,1.28B
80,2/1/07,27.79,30.94,28.17,30.84,1.29B
79,1/1/07,29.4,31.48,30.86,29.91,1.33B
78,12/1/06,28.8,30.26,29.86,29.23,1.14B
77,11/1/06,28.58,30,29.36,28.78,1.24B
76,10/1/06,27.15,28.85,28.71,27.32,1.29B
75,9/1/06,25.39,27.52,27.35,25.89,1.10B
74,8/1/06,23.85,26.25,25.7,24.02,1.13B
73,7/1/06,22.23,24.6,24.06,23.53,1.33B
72,6/1/06,21.46,23.65,23.3,22.74,1.98B
71,5/1/06,22.45,25,22.65,24.32,2.32B
70,4/1/06,24,27.94,24.15,27.67,1.45B
69,3/1/06,26.62,28.22,27.21,26.98,1.44B
68,2/1/06,26.34,28.07,26.87,27.96,1.05B
67,1/1/06,26.1,28.38,28.15,26.25,1.39B
66,12/1/05,26.1,28.1,26.15,27.73,1.27B
65,11/1/05,25.61,28.25,27.68,25.61,1.45B
64,10/1/05,24.25,25.8,25.7,25.71,1.45B
63,9/1/05,25.12,27.39,25.73,27.38,1.35B
62,8/1/05,25.76,27.94,27.38,25.81,1.45B
61,7/1/05,24.5,26.48,25.61,24.85,1.33B
60,6/1/05,24.82,26,24.84,25.73,1.32B
59,5/1/05,24.64,26.09,25.8,25.23,1.27B
58,4/1/05,23.94,25.45,25.3,24.24,1.53B
57,3/1/05,23.82,25.79,24.17,25.19,1.57B
56,2/1/05,25.13,26.5,25.16,26.25,1.37B
55,1/1/05,25.64,27.1,26.28,26.8,1.53B
54,12/1/04,26.68,27.44,26.72,26.95,1.83B
53,11/1/04,26.1,30.2,26.81,28.15,1.75B
52,10/1/04,27.42,28.89,27.97,27.81,1.30B
51,9/1/04,26.74,27.79,27.65,27.24,1.14B
50,8/1/04,25.95,28.55,27.3,28.29,1.09B
49,7/1/04,27.25,29.89,28.49,28.68,1.55B
48,6/1/04,25.86,28.8,28.56,26.11,1.54B
47,5/1/04,25.42,26.6,26.23,26.21,1.14B
46,4/1/04,24.85,27.72,26.13,24.95,1.56B
45,3/1/04,24.01,26.72,24.93,26.65,1.70B
44,2/1/04,26.35,27.8,26.53,27.63,1.03B
43,1/1/04,27.26,28.83,27.65,27.58,1.23B
42,12/1/03,25.5,27.55,27.37,25.9,1.48B
41,11/1/03,24.84,26.75,25.71,26.35,1.45B
40,10/1/03,25.91,29.46,26.14,28.03,1.41B
39,9/1/03,26.47,30,27.8,26.7,1.26B
38,8/1/03,25.43,26.95,26.52,26.33,968.17M
37,7/1/03,25.39,27.81,26.41,25.59,1.30B
36,6/1/03,23.6,26.51,25.64,24.98,1.58B
35,5/1/03,23.89,26.5,24.61,25.54,1.31B
34,4/1/03,23.95,26.43,25.56,24.47,1.25B
33,3/1/03,22.55,26.9,24.21,24.02,1.37B
32,2/1/03,23,24.99,23.7,23.96,1.35B
31,1/1/03,23.52,28.66,23.73,26.15,1.73B
30,12/1/02,25.63,29.48,25.85,29.32,1.27B
29,11/1/02,25.95,29.32,28.84,26.21,1.55B
28,10/1/02,21.59,27.04,26.73,22.12,2.48B
27,9/1/02,21.56,25.55,21.87,24.26,1.70B
26,8/1/02,21.9,26.73,24.54,23.79,1.72B
25,7/1/02,20.7,27.46,23.99,27.06,2.44B
24,6/1/02,24.59,28.22,27.35,25.5,1.84B
23,5/1/02,24.18,28.22,25.45,26.08,1.42B
22,4/1/02,25.72,30.2,26.13,29.91,1.42B
21,3/1/02,29.16,32.5,30.16,29.52,1.07B
20,2/1/02,28.57,32.25,29.17,32.08,1.13B
19,1/1/02,30.66,35.31,31.86,33.33,1.36B
18,12/1/01,31.9,34.95,33.12,31.91,977.23M
17,11/1/01,29.8,34.17,32.1,30.04,1.33B
16,10/1/01,25.2,31.82,29.07,25.47,1.75B
15,9/1/01,23.75,29.54,25.59,28.59,1.51B
14,8/1/01,28.15,33.77,28.52,33.4,1.15B
13,7/1/01,32.1,36.58,33.09,36.02,1.46B
12,6/1/01,33.01,38.08,36.5,34.8,1.45B
11,5/1/01,33.62,36.08,34.59,33.83,1.78B
10,4/1/01,25.53,35.55,33.88,27.41,2.08B
9,3/1/01,24.88,30.56,27.34,29.28,1.90B
8,2/1/01,26.94,32.53,29.5,30.41,1.54B
7,1/1/01,21.44,32.38,30.53,22.06,2.01B
6,12/1/00,20.12,30.31,21.69,29.03,2.27B
5,11/1/00,28.5,36.19,28.69,34.25,1.98B
4,10/1/00,24.22,35.06,34.44,30.25,2.47B
3,9/1/00,29.31,36.03,30.16,35,1.43B
2,8/1/00,34.06,37.44,34.91,34.97,1.22B
1,7/1/00,33.62,41.44,34.91,39.84,1.23B
0,6/1/00,31.91,41.09,40,32.19,1.47B
